Year,Site,Type,Management,Surveys,Survey Hrs,LT Max Adults,LT Nests,LT Nests Hatched,LT Chicks 0-14,LT Chicks 15-21,LT Fledglings,PP Max Adults,PP Nests,PP Nests Hatched,PP Chicks 0-14,PP Chicks 15-28,PP Fledglings
2022,Leaman,Sandpit,HPFTL,27,14,12,6,0,0,0,0,5,2,0,0,0,0
2022,Newark East,Sandpit,HPFTA,35,23,36,37,29,64,42,42,13,7,5,20,15,12
2022,Newark West,Sandpit,HPFTLE,30,17,14,9,4,8,5,5,6,8,1,3,0,0
2022,Non-Access Islands Kearney Broadfoot South,Sandpit,TA,28,16,0,0,0,0,0,0,1,0,0,0,0,0
2022,NPPD Lexington,Sandpit,PFT,31,45,12,2,0,0,0,0,9,7,3,9,4,0
2022,OSG Lexington,Sandpit,BHPFTM,32,40,18,9,8,23,19,19,6,3,3,11,6,4
2022,T&F Lakeside ,Sandpit,NA,7,3,0,0,0,0,0,0,0,0,0,0,0,0
2022,Trust Wildrose East,Sandpit,D,7,4,0,0,0,0,0,0,0,0,0,0,0,0
2021,Blue Hole,Sandpit,PFT,35,53,18,10,4,6,4,4,10,7,2,3,1,1
2021,Cottonwood Ranch,Sandpit,HPFT,19,11,1,0,0,0,0,0,2,1,1,4,0,0
2021,DeWeese,Sandpit,NA,7,4,0,0,0,0,0,0,0,0,0,0,0,0
2021,Dyer,Sandpit,HPFT,27,31,28,19,16,42,32,32,12,8,7,26,17,9
2021,Ed Broadfoot and Sons,Sandpit,NA,26,11,0,0,0,0,0,0,0,0,0,0,0,0
2021,Follmer,Sandpit,BHPTM,7,4,0,0,0,0,0,0,0,0,0,0,0,0
2021,Hooker Brothers East,Sandpit,NA,7,4,0,0,0,0,0,0,0,0,0,0,0,0
2021,Hooker Brothers Southeast,Sandpit,NA,24,14,17,12,10,21,6,9,1,0,0,0,0,0
2021,Johnson,Sandpit,PF,9,5,2,0,0,0,0,0,1,0,0,0,0,0
2021,Kearney Broadfoot South,Sandpit,BHPFTILM,27,28,25,20,7,18,6,6,11,13,6,19,2,2
2021,Leaman,Sandpit,HPFTL,26,15,4,0,0,0,0,0,6,5,0,0,0,0
2021,Newark East,Sandpit,HPFTA,25,17,27,18,15,40,32,33,7,5,5,19,12,12
2021,Newark West,Sandpit,HPFTLE,26,15,20,9,6,16,11,11,5,4,3,11,5,4
2021,Non-Access Islands Kearney Broadfoot South,Sandpit,BFT,26,12,2,0,0,0,0,0,2,1,1,3,0,0
2021,NPPD Lexington,Sandpit,PFT,39,55,18,10,6,15,9,7,8,5,4,14,8,7
2021,OSG Lexington,Sandpit,BVPFTCM,22,23,4,1,0,0,0,0,2,1,1,0,0,0
2021,Trust Wildrose East,Sandpit,D,7,4,0,0,0,0,0,0,0,0,0,0,0,0
2020,Blue Hole,Sandpit,PFTIL,32,45,12,8,3,5,5,6,9,7,3,10,8,7
2020,Cottonwood Ranch,Sandpit,HPFT,20,12,12,4,4,10,10,10,4,1,1,4,3,1
2020,DeWeese,Sandpit,NA,7,2,0,0,0,0,0,0,0,0,0,0,0,0
2020,Dyer,Sandpit,PFT,26,26,25,15,12,23,15,17,14,14,8,31,16,12
2020,Ed Broadfoot and Sons,Sandpit,NA,16,2,1,0,0,0,0,0,0,0,0,0,0,0
2020,Follmer,Sandpit,BHP,7,2,0,0,0,0,0,0,0,0,0,0,0,0
2020,Hooker Brothers East,Sandpit,NA,7,2,0,0,0,0,0,0,0,0,0,0,0,0
2020,Hooker Brothers Southeast,Sandpit,NA,21,6,9,6,3,6,3,3,0,0,0,0,0,0
2020,Johnson,Sandpit,PFT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Kearney Broadfoot South,Sandpit,BHPFTI,31,34,32,29,20,36,20,22,14,9,6,14,6,3
2020,Leaman,Sandpit,HPFT,24,8,7,4,3,7,6,6,4,4,1,4,0,0
2020,Newark East,Sandpit,HPFTAM,28,15,20,16,15,35,20,20,8,6,3,11,6,3
2020,Newark West,Sandpit,HPFTLE,21,11,13,8,6,17,11,11,6,2,1,4,2,2
2020,Non-Access Islands Kearney Broadfoot South,Sandpit,BFT,16,4,2,0,0,0,0,0,2,0,0,0,0,0
2020,NPPD Lexington,Sandpit,PFT,30,47,23,14,7,19,7,11,9,6,5,20,11,11
2020,Trust Wildrose East,Sandpit,D,16,8,2,1,1,2,0,1,1,0,0,0,0,0
2019,Blue Hole,Sandpit,PFT,23,35,18,9,1,3,2,2,8,4,2,6,5,3
2019,Cottonwood Ranch,Sandpit,HPFT,21,10,0,0,0,0,0,0,6,2,2,6,3,0
2019,DeWeese,Sandpit,NA,6,3,0,0,0,0,0,0,0,0,0,0,0,0
2019,Dyer,Sandpit,HPFTS,27,29,27,20,16,35,21,17,19,14,12,34,12,11
2019,Ed Broadfoot and Sons,Sandpit,NA,21,2,2,0,0,0,0,0,2,1,0,0,0,0
2019,Follmer,Sandpit,BHP,7,4,0,0,0,0,0,0,0,0,0,0,0,0
2019,Hooker Brothers Southeast,Sandpit,NA,20,11,7,3,3,6,5,5,0,0,0,0,0,0
2019,Johnson,Sandpit,PFT,8,4,5,1,0,0,0,0,0,0,0,0,0,0
2019,Kearney Broadfoot South,Sandpit,BHPFTS,28,38,25,25,3,6,5,5,17,18,2,5,0,0
2019,Leaman,Sandpit,HPFTS,26,11,7,6,0,0,0,0,5,5,1,3,0,0
2019,Newark East,Sandpit,HPFTA,29,28,37,35,27,56,26,26,10,7,4,14,5,1
2019,Newark West,Sandpit,HPFTS,32,25,19,16,8,14,5,6,8,3,3,9,5,3
2019,Non-Access Islands Kearney Broadfoot South,Sandpit,BFT,23,7,2,0,0,0,0,0,2,1,0,0,0,0
2019,NPPD Lexington,Sandpit,PFT,35,55,20,17,9,17,10,10,9,5,5,17,12,12
2019,Trust Wildrose East,Sandpit,N,8,14,0,0,0,0,0,0,2,0,0,0,0,0
2018,Blue Hole,Sandpit,PFT,37,56,34,18,10,22,6,6,14,12,7,23,5,3
2018,Cottonwood Ranch,Sandpit,HPFT,20,9,0,0,0,0,0,0,2,1,1,4,0,0
2018,DeWeese,Sandpit,NA,7,3,0,0,0,0,0,0,0,0,0,0,0,0
2018,Dyer,Sandpit,GHPFTS,35,34,22,23,12,27,26,25,12,5,4,11,4,3
2018,Ed Broadfoot and Sons,Sandpit,NA,24,4,2,0,0,0,0,0,3,1,1,1,0,0
2018,Follmer,Sandpit,BHPF,7,3,0,0,0,0,0,0,0,0,0,0,0,0
2018,Hooker Brothers Southeast,Sandpit,NA,7,4,0,0,0,0,0,0,0,0,0,0,0,0
2018,Johnson,Sandpit,PFT,16,12,12,0,0,0,0,0,1,1,0,0,0,0
2018,Kearney Broadfoot South,Sandpit,BHPFTS,38,50,35,27,18,34,16,15,11,8,8,22,14,4
